x,y,t
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.70181,1.39644,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
5.68557,1.3779,1.71017e+09
